,관할서,총인구수 (명)
0,경기수원남부경찰서,509814
1,경기수원서부경찰서,292598
2,경기수원중부경찰서,383666
3,경남마산동부경찰서,191289
4,경남마산중부경찰서,175716
5,경남진주경찰서,348096
6,경남진해경찰서,192755
7,경남창원서부경찰서,194417
8,경남창원중부경찰서,282561
9,서울강남경찰서,314971
10,서울강동경찰서,459970
11,서울강북경찰서,308055
12,서울강서경찰서,580185
13,서울관악경찰서,495060
14,서울광진경찰서,346682
15,서울구로경찰서,404408
16,서울금천경찰서,231733
17,서울남대문경찰서,22617
18,서울노원경찰서,523037
19,서울도봉경찰서,325257
20,서울동대문경찰서,342837
21,서울동작경찰서,391220
22,서울마포경찰서,371890
23,서울방배경찰서,131711
24,서울서대문경찰서,312173
25,서울서부경찰서,196042
26,서울서초경찰서,293415
27,서울성동경찰서,293556
28,서울성북경찰서,246530
29,서울송파경찰서,667960
30,서울수서경찰서,224260
31,서울양천경찰서,454251
32,서울영등포경찰서,379480
33,서울용산경찰서,230040
34,서울은평경찰서,283793
35,서울종로경찰서,75068
36,서울종암경찰서,190623
37,서울중랑경찰서,394702
38,서울중부경찰서,102623
39,서울혜화경찰서,74316
40,충남세종경찰서,355831
